rank;points;player
1;10645;Rafael Nadal
2;9605;Roger Federer
3;5150;Grigor Dimitrov
4;4610;Alexander Zverev
5;4015;Dominic Thiem
6;3805;Marin Cilic
7;3775;David Goffin
8;3165;Jack Sock
9;3150;Stan Wawrinka
10;2615;Pablo Carreno Busta
11;2595;Juan Martin Del Potro
12;2585;Novak Djokovic
13;2535;Sam Querrey
14;2480;Kevin Anderson
15;2320;Jo Wilfried Tsonga
16;2290;Andy Murray
17;2265;John Isner
18;2235;Lucas Pouille
19;2095;Tomas Berdych
20;2015;Roberto Bautista Agut
21;2010;Nick Kyrgios
22;1885;Kei Nishikori
23;1845;Albert Ramos Vinolas
24;1795;Milos Raonic
25;1695;Gilles Muller
26;1675;Diego Schwartzman
27;1670;Fabio Fognini
28;1635;Adrian Mannarino
29;1440;Philipp Kohlschreiber
30;1391;Damir Dzumhur
31;1375;Richard Gasquet
32;1370;Pablo Cuevas
33;1302;Mischa Zverev
34;1298;Filip Krajinovic
35;1295;Fernando Verdasco
36;1295;Feliciano Lopez
37;1290;David Ferrer
38;1231;Alexandr Dolgopolov
39;1229;Andrey Rublev
40;1219;Yuichi Sugita
41;1155;Benoit Paire
42;1130;Robin Haase
43;1095;Paolo Lorenzi
44;1055;Steve Johnson
45;1030;Karen Khachanov
46;1015;Gael Monfils
47;1010;Ryan Harrison
48;1001;Borna Coric
49;993;Aljaz Bedene
50;992;Kyle Edmund
51;981;Denis Shapovalov
52;909;Leonardo Mayer
53;898;Jan Lennard Struff
54;890;Jared Donaldson
55;880;Viktor Troicki
56;864;Denis Istomin
57;855;Julien Benneteau
58;850;Joao Sousa
59;844;Hyeon Chung
60;826;Nikoloz Basilashvili
61;817;Peter Gojowczyk
62;816;Donald Young
63;815;Jiri Vesely
64;774;Guido Pella
65;772;Daniil Medvedev
66;768;Horacio Zeballos
67;755;Dudi Sela
68;755;Federico Delbonis
69;718;Florian Mayer
70;714;Guillermo Garcia Lopez
71;704;Yen Hsun Lu
72;704;Evgeny Donskoy
73;701;Thomas Fabbiano
74;693;Mikhail Kukushkin
75;687;Dusan Lajovic
76;667;Steve Darcis
77;665;Jeremy Chardy
78;662;Frances Tiafoe
79;660;Ivo Karlovic
80;655;Matthew Ebden
81;652;Pierre Hugues Herbert
82;651;Cedrik Marcel Stebe
83;648;Victor Estrella Burgos
84;633;Mikhail Youzhny
85;630;Marton Fucsovics
86;623;Tennys Sandgren
87;616;Andreas Seppi
88;616;Radu Albot
89;615;Stefanos Tsitsipas
90;612;Laslo Djere
91;610;Gilles Simon
92;608;Maximilian Marterer
93;605;Lukas Lacko
94;601;Marius Copil
95;593;Jordan Thompson
96;590;Nicolas Kicker
97;580;Malek Jaziri
98;579;Taro Daniel
99;574;Nicolas Jarry
100;572;Gerald Melzer
101;571;Rogerio Dutra Silva
102;570;Blaz Kavcic
103;564;Marcos Baghdatis
104;561;Nicolas Mahut
105;558;Taylor Fritz
106;556;Janko Tipsarevic
107;549;Roberto Carballes Baena
108;546;Andrey Kuznetsov
109;545;Vasek Pospisil
110;543;Marco Cecchinato
111;542;Bjorn Fratangelo
112;541;Cameron Norrie
113;531;Thomaz Bellucci
114;519;Gastao Elias
115;515;Alexander Bublik
116;507;Sergiy Stakhovsky
117;506;Henri Laaksonen
118;503;Ruben Bemelmans
119;499;Yannick Hanfmann
120;498;Ernesto Escobedo
121;484;Jerzy Janowicz
122;482;Yuki Bhambri
123;469;Dustin Brown
124;469;Pedro Sousa
125;468;Carlos Berlocq
126;465;Adrian Menendez Maceiras
127;465;Matteo Berrettini
128;456;Thiago Monteiro
129;436;Quentin Halys
130;435;Tim Smyczek
131;435;Oscar Otte
132;433;Sebastian Ofner
133;425;Stefano Travaglia
134;423;Norbert Gombos
135;420;Daniel Evans
136;420;Yoshihito Nishioka
137;418;Stefan Kozlov
138;412;Egor Gerasimov
139;405;Ramkumar Ramanathan
140;404;Peter Polansky
141;401;Ricardas Berankis
142;399;Casper Ruud
143;395;Bernard Tomic
144;393;Martin Klizan
145;391;Akira Santillan
146;387;Renzo Olivo
147;384;Elias Ymer
148;380;Yannick Maden
149;370;Mirza Basic
150;363;Nicolas Almagro
151;361;Tommy Paul
152;357;Calvin Hemery 
153;357;Nikola Milojevic
154;353;Alessandro Giannessi
155;352;Corentin Moutet
156;351;Gleb Sakharov
157;347;Tommy Robredo
158;347;Kenny De Schepper
159;344;Felix Auger Aliassime
160;344;Andrej Martin
161;344;Mathias Bourgue
162;338;Jurgen Zopp
163;335;Jozef Kovalik
164;327;Tatsuma Ito
165;326;John Millman
166;325;Go Soeda
167;318;Attila Balazs
168;315;Joao Domingues
169;313;Liam Broady
170;311;Soonwoo Kwon
171;311;Uladzimir Ignatik
172;308;Luca Vanni
173;305;Simone Bolelli
174;304;Aldin Setkic
175;301;Darian King
176;301;Denis Kudla
177;299;Michael Mmoh
178;299;Mackenzie Mcdonald
179;298;Marcel Granollers
180;297;Marcelo Arevalo
181;294;Arthur De Greef
182;291;Ricardo Ojeda Lara
183;291;Carlos Taberner
184;287;Matthias Bachinger
185;285;Facundo Bagnis
186;280;Alexey Vatutin
187;279;Filip Peliwo
188;274;Mitchell Krueger
189;271;Jurgen Melzer
190;270;Benjamin Bonzi
191;269;Vincent Millot
192;269;Alex Bolt
193;269;Viktor Galovic
194;266;Ze Zhang
195;265;Guido Andreozzi
196;264;Dmitry Popko
197;262;Evan King
198;262;Brayden Schnur
199;260;Illya Marchenko
200;260;Kamil Majchrzak
201;258;Ernests Gulbis
202;257;Kevin King
203;256;Noah Rubin
204;256;Adam Pavlasek
205;254;Lukas Rosol
206;254;Salvatore Caruso
207;253;Vaclav Safranek
208;248;Blaz Rola
209;246;Miomir Kecmanovic
210;245;Alex De Minaur
211;245;Thanasi Kokkinakis
212;245;Goncalo Oliveira
213;243;Stefano Napolitano
214;242;Bradley Klahn
215;240;Pedja Krstin
216;238;Duckhee Lee
217;237;Lorenzo Sonego
218;236;Mohamed Safwat
219;235;John Patrick Smith
220;235;Marco Trungelliti
221;234;Yasutaka Uchiyama
222;234;Guilherme Clezar
223;232;Dennis Novak
224;230;Santiago Giraldo
225;230;Andrea Arnaboldi
226;228;Reilly Opelka
227;227;Ilya Ivashka
228;227;Jaume Munar
229;227;Zdenek Kolar
230;224;Dennis Novikov
231;223;Stephane Robert
232;223;Tallon Griekspoor
233;222;Tobias Kamke
234;222;Aleksandr Nedovyesov
235;221;Hugo Dellien
236;220;Teymuraz Gabashvili
237;220;Hubert Hurkacz
238;219;Jason Jung
239;218;Joao Monteiro
240;216;Christian Harrison
241;215;Nicola Kuhn
242;215;Daniel Altmaier
243;214;Di Wu
244;214;Karim Mohamed Maamoun 
245;209;Sam Groth
246;206;Paul Henri Mathieu
247;206;Tomislav Brkic
248;205;Tommy Haas
249;204;Danilo Petrovic
250;203;Federico Gaio
251;201;Joao Souza
252;199;Prajnesh Gunneswaran
253;199;Javier Marti
254;198;Lorenzo Giustino
255;197;Alexander Sarkissian
256;196;Julien Cagnina
257;196;David Guez
258;195;Pedro Martinez
259;194;Andrea Collarini
260;194;Marek Jaloviec
261;192;Matteo Donati
262;192;Kimmer Coppejans
263;191;Max Purcell
264;191;Dayne Kelly
265;191;Yusuke Takahashi
266;189;Zhe Li
267;188;Lloyd Harris
268;186;Konstantin Kravchuk
269;186;Austin Krajicek
270;186;Mats Moraing
271;186;Laurynas Grigelis
272;186;Cem Ilkel
273;185;Omar Jasika
274;185;Dominik Koepfer
275;184;Michael Linzer
276;183;Joris De Loore
277;183;Facundo Arguello
278;181;Blake Mott
279;178;Jay Clarke
280;173;Federico Coria
281;172;Edan Leshem
282;172;Brydan Klein
283;172;Matteo Viola
284;171;Jeremy Jahn
285;170;Daniel Munoz De La Nava
286;168;Daniel Elahi Galan
287;168;Marcos Giron
288;167;Jan Choinski
289;167;Geoffrey Blancaneaux
290;166;Andrew Whittington
291;165;Pedro Cachin
292;165;Youssef Hossam
293;163;Roberto Quiroz
294;163;Bernabe Zapata Miralles
295;161;Tsung Hua Yang
296;161;Yannick Mertens
297;160;Steven Diez
298;160;Ivan Nedelko
299;158;Christian Garin
300;158;Maverick Banes
301;157;Yibing Wu
302;156;Antoine Hoang
303;155;Ante Pavic
304;155;Rubin Statham
305;155;Marsel Ilhan
306;154;Nino Serdarusic
307;153;Franko Skugor
308;151;Tristan Lamasine
309;151;Roberto Ortega Olmedo
310;150;Alexandre Muller
311;149;Daniel Brands
312;149;Filip Horansky
313;149;Bradley Mousley
314;149;Markus Eriksson
315;149;Frederico Ferreira Silva
316;149;Ivan Gakhov
317;145;Ti Chen
318;143;Joao Pedro Sorgi
319;143;Hernan Casanova
320;141;Inigo Cervantes
321;141;Sumit Nagal
322;141;Marc Polmans
323;141;Alessandro Bega
324;140;Sebastian Fanselow
325;139;Daniel Masur
326;139;Lucas Miedler
327;138;Gianluigi Quinzi
328;137;Ivan Dodig
329;137;Enrique Lopez Perez
330;136;Tim Puetz
331;135;Daniel Nguyen
332;135;Raymond Sarmiento
333;135;Axel Michon
334;134;Jason Kubler
335;134;Zhizhen Zhang
336;134;Riccardo Bellotti
337;133;Andrea Basso
338;133;Christian Lindell
339;132;Christopher Eubanks
340;132;Constant Lestienne
341;132;Christopher O'connell
342;130;Miljan Zekic
343;129;Jan Satral
344;129;Marc Giner
345;128;Rajeev Ram
346;127;Radek Stepanek
347;127;Maxime Hamou
348;127;Jose Hernandez Fernandez
349;126;Evgeny Karlovskiy
350;126;Hiroki Moriya
351;125;Christopher Heyman
352;124;Yosuke Watanuki
353;124;Facundo Mena
354;123;Daniel Dutra Da Silva
355;122;N.Sriram Balaji
356;122;Carlos Boluda Purkiss
357;120;Edward Corrie
358;120;Petr Michnev
359;119;Alexandar Lazov
360;119;Kaichi Uchida
361;118;Frank Dancevic
362;117;Yannick Jankovits
363;116;Daniel Gimeno Traver
364;116;James Mcgee
365;116;Shuichi Sekiguchi
366;115;Dzmitry Zhyrmont
367;114;Thiemo De Bakker
368;114;Alejandro Gonzalez
369;114;Juan Ignacio Londero
370;114;Ugo Humbert
371;113;Alexander Ward
372;112;Nicolaas Scholtz
373;112;Juan Pablo Ficovich
374;111;Hiroyasu Ehara
375;111;Shintaro Imai
376;111;Sam Barry
377;111;Bruno Santanna
378;109;Yannick Vandenbulcke
379;109;Jared Hiltzik
380;108;Sora Fukuda
381;108;Dimitar Kuzmanov
382;108;Andrea Pellegrino
383;108;Maxime Janvier
384;107;Sanjar Fayziev
385;106;Scott Griekspoor
386;106;Albano Olivetti
387;106;Gerard Granollers
388;106;Lenny Hampel
389;105;Maximo Gonzalez
390;105;Carlos Gomez Herrera
391;105;Martin Cuevas
392;105;Vladyslav Manafov
393;104;Enzo Couacaud
394;104;Marc Sieber
395;104;Adelchi Virgili
396;103;Fabien Reboul
397;103;Sergio Gutierrez Ferrol
398;102;Juan Ignacio Galarza
399;101;Patricio Heras
400;101;Lucas Catarina
401;100;Alejandro Falla
402;100;Marco Chiudinelli
403;100;Mario Vilella Martinez
404;99;Kento Takeuchi
405;98;Maximilian Neuchrist
406;98;Elliot Benchetrit
407;97;Marinko Matosevic
408;96;David Pichler
409;96;Viktor Durasovic
410;95;Eduard Esteve Lobato
411;95;Botic Van De Zandschulp
412;95;Hugo Grenier
413;93;Lloyd Glasspool
414;93;Juan Pablo Paz
415;92;Jc Aragone
416;92;Mikael Ymer
417;92;Gianluca Mager
418;90;Pol Toledo Bague
419;90;Clement Geens
420;90;Antoine Escoffier
421;89;Dennis Nevolo
422;88;Yaraslav Shyla
423;88;Gianni Mina
424;88;Liam Caruana
425;88;Sadio Doumbia
426;88;Michal Konecny
427;87;Ruben Ramirez Hidalgo
428;87;Cristian Rodriguez
429;87;Sasi Kumar Mukund
430;87;Filippo Baldi
431;86;Boy Westerhof
432;86;Gonzalo Lama
433;86;Marko Tepavac
434;86;Mate Delic
435;85;Sekou Bangoura
436;84;Riccardo Bonadio
437;84;Thomas Brechemier
438;84;Takanyi Garanganga
439;84;Juan Pablo Varillas
440;84;Pablo Vivero Gonzalez
441;84;Fabrizio Ornago
442;83;Robin Kern
443;83;Yannik Reuter
444;83;Alexis Musialek
445;83;Samuel Bensoussan
446;82;Guillermo Olaso
447;82;Pawel Cias
448;82;Jules Okala
449;82;Altug Celikbilek
450;81;Andreas Haider Maurer
451;81;Oriol Roca Batalla
452;81;Baptiste Crepatte
453;81;Benjamin Lock
454;80;Alejandro Davidovich Fokina
455;80;Yan Bai
456;80;Pedro Sakamoto
457;80;Lorenzo Frigerio
458;80;Alessandro Petrone
459;79;Nils Langer
460;79;Mariano Kestelboim
461;79;Maxime Chazal
